チーム,背番号,名前,ポジション,スロット,カラー,番号色
JAPAN,1,和田由紀子,OH,4,#ed0014,white
JAPAN,2,荒木彩花,MB,,#ed0014,white
JAPAN,3,島村春世,MB,6,#ed0014,white
JAPAN,4,石川真佑,OH,2,#ed0014,white
JAPAN,5,佐藤淑乃,OH,5,#ed0014,white
JAPAN,6,関 菜々巳,S,1,#ed0014,white
JAPAN,7,栄 絵里香,S,,#ed0014,white
JAPAN,8,小島満菜美,L,,#ffffff,black
JAPAN,9,岩澤実育,L,,#ffffff,black
JAPAN,10,中川つかさ,S,,#ed0014,white
JAPAN,11,山田二千華,MB,,#ed0014,white
JAPAN,12,福留慧美,L,L,#ffffff,black
JAPAN,13,山口真季,MB,,#ed0014,white
JAPAN,14,塩出仁美,S,,#ed0014,white
JAPAN,15,宮部藍梨,MB,3,#ed0014,white
JAPAN,16,鴫原ひなた,OH,,#ed0014,white
JAPAN,17,川添美優,OH,,#ed0014,white
JAPAN,18,宮部愛芽世,OH,,#ed0014,white
JAPAN,19,西崎愛菜,L,,#ffffff,black
JAPAN,20,本田 凜,MB,,#ed0014,white
JAPAN,21,廣田あい,OH,,#ed0014,white
JAPAN,22,北窓絢音,OH,,#ed0014,white
JAPAN,23,井上未唯奈,MB,,#ed0014,white
JAPAN,24,花岡千聡,S,,#ed0014,white
JAPAN,25,大森咲愛,OH,,#ed0014,white
JAPAN,26,秋本美空,OH,,#ed0014,white
JAPAN,27,馬場柚希,MB,,#ed0014,white
JAPAN,28,佐藤彩夏,OH,,#ed0014,white
JAPAN,29,甲 萌香,MB,,#ed0014,white
JAPAN,30,志摩美古都,OH,,#ed0014,white
JAPAN,31,松井珠己,S,,#ed0014,white
JAPAN,32,西村弥菜美,L,,#ffffff,black
JAPAN,33,二宮みずき,S,,#ed0014,white
JAPAN,34,忠願寺莉桜,OH,,#ed0014,white
JAPAN,35,山下裕子,MB,,#ed0014,white
JAPAN,36,大雲舞子,OH,,#ed0014,white
JAPAN,37,小林天音,S,,#ed0014,white
